alt,density,pressure,temperature,windsE,windsN,windsV
35035.03504,0.008387106,563.1352252,234.0035736,20.4038038,-0.635335335,0
35175.17518,0.00821351,552.1263363,234.2903504,19.60398398,0.015805806,0
35315.31532,0.008044021,541.3767568,234.5821622,18.77657658,0.624324324,0
35455.45546,0.007878728,530.8852052,234.8764565,17.91063063,1.196276276,0
35595.5956,0.007716861,520.6110811,235.1707508,17.01818819,1.733263263,0
35735.73574,0.007559233,510.6006306,235.4686186,16.09057057,2.221501502,0
35875.87588,0.007405044,500.8042142,235.7693393,15.12886887,2.675215215,0
36016.01602,0.007254403,491.2353253,236.0652352,14.12308308,3.093243243,0
36156.15616,0.00710751,481.8880781,236.3679279,13.08321321,3.466006006,0
36296.2963,0.006963681,472.7307407,236.6718519,11.99888889,3.801481481,0
36436.43644,0.006823537,463.8081481,236.9701602,10.87122122,4.099229229,0
36576.57658,0.006686521,455.0699099,237.2784685,9.699099099,4.357837838,0
36716.71672,0.006549316,446.3067868,237.5884484,8.542952953,4.545045045,0
36856.85686,0.006409696,437.3837037,237.9107708,7.472202202,4.6597998,0
36996.997,0.006273501,428.6852853,238.2330931,6.383423423,4.738498498,0
37137.13714,0.0061414,420.2477678,238.5691291,5.286616617,4.773713714,0
37277.27728,0.0060126,412.0301902,238.9054655,4.171781782,4.772272272,0
37417.41742,0.005887242,404.0363664,239.2535435,3.048918919,4.741291291,0
37557.55756,0.005761832,396.1104404,239.6614515,2.472092092,4.763313313,0
37697.6977,0.005634381,388.1598498,240.1519419,2.696316316,4.897927928,0
37837.83784,0.005510719,380.4354054,240.6524324,2.934324324,5.002702703,0
37977.97798,0.005390263,372.9037738,241.1507207,3.172562563,5.078988989,0
38118.11812,0.005272943,365.5587287,241.657037,3.410800801,5.133623624,0
38258.25826,0.00515896,358.4137838,242.1697297,3.649039039,5.155825826,0
38398.3984,0.005046583,351.3408809,242.6742342,4.172632633,5.091121121,0
38538.53854,0.004936471,344.3893193,243.1787387,4.9404004,4.943753754,0
38678.67868,0.00482934,337.6212913,243.6832432,5.645525526,4.775585586,0
38818.81882,0.004725538,331.0580981,244.1977477,6.265275275,4.581771772,0
38958.95896,0.004624798,324.6927427,244.7081481,6.802252252,4.365665666,0
39099.0991,0.004526826,318.4995495,245.2365766,7.267117117,4.131531532,0
39239.23924,0.004432167,312.498028,245.7591091,7.63025025,3.865445445,0
39379.37938,0.004340024,306.6616316,246.2916416,7.920820821,3.583303303,0
39519.51952,0.00425082,300.987027,246.8241742,8.117567568,3.265105105,0
39659.65966,0.004164208,295.4852052,247.3567067,8.21982983,2.930850851,0
39799.7998,0.004080119,290.1176276,247.8892392,8.24,2.570520521,0
39939.93994,0.003998754,284.9221922,248.4217718,8.154054054,2.174174174,0
40080.08008,0.003917473,279.7910611,249.0343844,8.26016016,1.943943944,0
40220.22022,0.003836916,274.7342042,249.683013,8.526396396,1.845845846,0
40360.36036,0.003758681,269.8034234,250.3216216,8.778648649,1.741711712,0
40500.5005,0.003682435,264.9831832,250.9521522,9.020800801,1.61954955,0
40640.64064,0.003608708,260.2988589,251.5547548,9.245025025,1.493423423,0
40780.78078,0.003536783,255.7146246,252.1573574,9.453093093,1.359219219,0
40920.92092,0.00346687,251.2430831,252.7357758,9.649289289,1.206986987,0
41061.06106,0.003398891,246.8732132,253.3103504,9.833273273,1.052832833,0
41201.2012,0.003332645,242.6040841,253.8746847,10.00144144,0.878558559,0
41341.34134,0.003268314,238.4345646,254.4170971,10.16547548,0.706256256,0
41481.48148,0.003205541,234.3551852,254.9577778,10.31148148,0.515925926,0
41621.62162,0.003144589,230.3767568,255.48,10.44594595,0.311891892,0
41761.76176,0.003085569,226.5100801,255.97999,10.64499499,0.154414414,0
41901.9019,0.003028239,222.7497898,256.4664665,10.84152152,0.028098098,0
42042.04204,0.002972477,219.0711111,256.9429429,10.94102102,-0.112042042,0
42182.18218,0.002917978,215.4743544,257.4112012,10.97,-0.252182182,0
42322.32232,0.002864874,211.9586386,257.8736637,10.91214214,-0.404554555,0
42462.46246,0.002813039,208.5159159,258.3298799,10.77504505,-0.558708709,0
42602.6026,0.002761142,205.0151952,258.7472873,10.78973974,-0.579479479,0
42742.74274,0.00270987,201.5385285,259.1396797,10.73725726,-0.551451451,0
42882.88288,0.002659611,198.1159459,259.5320721,10.53081081,-0.531711712,0
43023.02302,0.002610334,194.7643544,259.9221622,10.16172172,-0.517697698,0
43163.16316,0.002562098,191.4682983,260.3068569,9.628398398,-0.51,0
43303.3033,0.0025148,188.234024,260.6892492,8.948108108,-0.508678679,0
43443.44344,0.002468351,185.0194895,261.0772973,8.460980981,-0.43958959,0
43583.58358,0.002422719,181.8577277,261.4556757,7.970740741,-0.341491491,0
43723.72372,0.002378151,178.7528228,261.8340541,7.378498498,-0.241021021,0
43863.86386,0.002334402,175.7105405,262.206046,6.687907908,-0.128908909,0
44004.004,0.002291499,172.7159159,262.5804104,5.894774775,-0.016396396,0
44144.14414,0.002249633,169.7862162,262.9403604,4.98981982,0.10972973,0
44284.28428,0.002208489,166.9021722,263.2991391,3.986296296,0.235855856,0
44424.42442,0.002168188,164.083954,263.6510611,2.874834835,0.374424424,0
44564.56456,0.002128722,161.3080781,264.0014114,1.658918919,0.514564565,0
44704.7047,0.002090025,158.5801401,264.3412913,0.342482482,0.665175175,0
44844.84484,0.002052182,155.9124324,264.6731431,-1.095355355,0.819329329,0
44984.98498,0.002014964,153.2807808,264.9954655,-2.631831832,0.981981982,0
45125.12513,0.001979544,150.6151351,265.03,-3.503163163,0.972462462,0
45265.26527,0.001944779,147.9860661,265.0365265,-4.213273273,0.93042042,0
45405.40541,0.001910597,145.3916216,265.0505405,-4.841081081,0.888378378,0
45545.54555,0.00187696,142.8501802,265.0645546,-5.369409409,0.841781782,0
45685.68569,0.001843778,140.3447948,265.0871371,-5.808488488,0.785725726,0
45825.82583,0.00181126,137.8906306,265.1151652,-6.154234234,0.717087087,0
45965.96597,0.00177916,135.4653854,265.1497898,-6.408948949,0.647017017,0
46106.10611,0.001747644,133.088028,265.1818318,-6.573663664,0.576336336,0
46246.24625,0.001716626,130.7523123,265.2284985,-6.634624625,0.492252252,0
46386.38639,0.001686054,128.4519019,265.2759159,-6.605445445,0.39952953,0
46526.52653,0.001656076,126.1955756,265.3306106,-6.475515516,0.301431431,0
46666.66667,0.001626633,123.9733333,265.3933333,-6.466666667,0.19,0
46806.80681,0.001597818,121.8058559,265.4634034,-7.369219219,0.032512513,0
46946.94695,0.001569511,119.6757958,265.5381682,-8.625995996,-0.121641642,0
47087.08709,0.001541657,117.5824024,265.6222523,-10.026997,-0.267087087,0
47227.22723,0.001514245,115.5224825,265.7063363,-11.58128128,-0.404504505,0
47367.36737,0.001487333,113.4966466,265.7971572,-13.28882883,-0.530630631,0
47507.50751,0.001460766,111.5018919,265.8852553,-15.16288288,-0.655255255,0
47647.64765,0.001434095,109.4934034,265.9833534,-17.61953954,-0.753353353,0
47787.78779,0.001407784,107.520971,266.0902302,-19.99483483,-0.842672673,0
47927.92793,0.001381889,105.5773874,266.1895495,-22.27126126,-0.923963964,0
48068.06807,0.001356448,103.6710811,266.2876476,-24.45144144,-0.987227227,0
48208.20821,0.001331355,101.8016517,266.3957457,-26.53737738,-1.042462462,0
48348.34835,0.001306787,99.95905405,266.5035135,-28.29963964,-1.074834835,0
48488.48849,0.001282491,98.14703804,266.6384885,-29.40826827,-1.071151151,0
48628.62863,0.00125859,96.369997,266.7786286,-30.42898899,-1.067137137,0
48768.76877,0.001235184,94.62295495,266.9187688,-31.45888889,-1.06,0
48908.90891,0.001212157,92.90638038,267.0697998,-32.5085986,-1.048218218,0
49049.04905,0.001189601,91.22084484,267.223954,-33.58767768,-1.025095095,0
49189.18919,0.001167408,89.56235135,267.3781081,-34.68459459,-1.011081081,0
49329.32933,0.001145683,87.93500601,267.5422623,-35.79463463,-0.984134134,0
49469.46947,0.00112431,86.33452152,267.7033634,-36.92964965,-0.956106106,0
49609.60961,0.001103378,84.76152553,267.8815315,-38.08072072,-0.918078078,0
49749.74975,0.001082786,83.21623524,268.0496997,-39.2578979,-0.885075075,0
49889.88989,0.001062556,81.69618919,268.2268569,-40.45305305,-0.834044044,0
50030.03003,0.001043276,80.22560661,268.333964,-41.37897898,-0.775975976,0
50170.17017,0.001026039,78.86415616,268.1657958,-41.28088088,-0.670880881,0
50310.31031,0.001009065,77.52356757,267.9986587,-41.19381381,-0.560720721,0
50450.45045,0.000992367,76.20479279,267.8394595,-41.11477477,-0.43963964,0
50590.59059,0.000975948,74.90494294,267.6712913,-41.0447047,-0.318468468,0
